Student ID	Full Name	NIC Number	Course Code	GPA	District	Is Enrolled	Date of Birth
STU1071	Kasun Fernando	9102196444v	IT303	3.80	Kalutara	FALSE	12/7/1990
STU1149	Ruwan Gunawardena	9231515880v	IT303	3.77	Kandy	FALSE	10/20/1995
STU1148	Nimal Silva	9912154440v	CS101	3.75	Matara	TRUE	8/1/1995
STU1113	Ruwan Gunawardena	9202758412v	IT303	3.68	Gampaha	FALSE	9/14/1995
STU1132	Nuwan Gunawardena	9823403420v	DS505	3.66	Colombo	TRUE	8/7/1991
STU1016	Nimal Jayasinghe	9912144220v	DS505	3.65	Gampaha	FALSE	11/25/1991
STU1048	Nuwan de Silva	9622044305v	IT303	3.65	Galle	TRUE	11/4/1999
STU1011	Ishara Jayakody	9802638813v	IS404	3.64	Ratnapura	TRUE	10/28/1997
STU1041	Ishara Bandara	9202365655v	DS505	3.60	Colombo	FALSE	11/10/1994
STU1074	Chathura Jayasinghe	9112767116v	SE202	3.59	Kandy	TRUE	7/9/1999
STU1131	Tharindu Gunawardena	9621069213v	IS404	3.59	Galle	TRUE	4/4/1996
STU1134	Ishara Fernando	9503089281v	ENG101	3.56	Colombo	FALSE	10/23/1999
STU1092	Ishara Jayasinghe	9522727106v	IS404	3.56	Gampaha	FALSE	3/17/1993
STU1142	Nimal Silva	9002212667v	CS101	3.56	Kalutara	FALSE	3/15/1998
STU1002	Kamal Weerasinghe	9623483392v	SE202	3.55	Galle	TRUE	4/13/1990
STU1026	Nimal Perera	9633183846v	ENG101	3.54	Kurunegala	TRUE	1/19/1993
STU1036	Chathura de Silva	9721826592v	IS404	3.53	Kandy	FALSE	11/24/1995
STU1060	Lahiru Bandara	9201818127v	ENG101	3.52	Kurunegala	TRUE	7/28/1992
STU1144	Saman Dissanayake	9023347670v	DS505	3.52	Anuradhapura	TRUE	9/23/1991
STU1103	Saman Fernando	9312256598v	IS404	3.51	Kurunegala	TRUE	4/9/1993
STU1014	Nimal de Silva	9013512240v	CS101	3.50	Galle	FALSE	4/16/1998
STU1083	Nimal Gunawardena	9033017214v	IS404	3.50	Kandy	FALSE	3/19/1991
STU1038	Kamal Bandara	9731841340v	ENG101	3.48	Ratnapura	FALSE	6/12/1991
STU1141	Saman Dissanayake	9302812772v	DS505	3.46	Ratnapura	FALSE	1/3/1991
STU1047	Ruwan Jayakody	9303574428v	MAT201	3.45	Ratnapura	TRUE	1/7/1991
STU1115	Lahiru Weerasinghe	9511692583v	IT303	3.41	Kurunegala	TRUE	3/11/1999
STU1068	Nimal Perera	9011128356v	MAT201	3.41	Matale	FALSE	8/24/1997
STU1114	Kasun Fernando	9822715041v	IS404	3.39	Anuradhapura	TRUE	8/3/1997
STU1107	Nimal Gunawardena	9433545097v	SE202	3.38	Colombo	TRUE	9/27/1994
STU1015	Saman Fernando	9332853741v	ENG101	3.38	Kalutara	FALSE	12/27/1991
STU1017	Saman Jayakody	9431739715v	MAT201	3.36	Galle	FALSE	4/19/1999
STU1003	Tharindu Gunawardena	9312564567v	IS404	3.35	Matara	FALSE	9/6/1997
STU1123	Chathura Fernando	9133075508v	CS101	3.34	Colombo	TRUE	5/9/1994
STU1088	Saman Bandara	9613562382v	ENG101	3.34	Kurunegala	FALSE	7/20/1991
STU1063	Kamal Dissanayake	9001856960v	IT303	3.33	Matara	FALSE	3/7/1991
STU1032	Saman de Silva	9512958780v	CS101	3.33	Galle	FALSE	1/27/1996
STU1052	Kamal Fernando	9903451000v	IS404	3.29	Kandy	TRUE	10/22/1991
STU1049	Kasun Perera	9931141589v	MAT201	3.27	Kalutara	FALSE	11/17/1995
STU1109	Kamal Silva	9613489227v	ENG101	3.26	Galle	TRUE	4/2/1990
STU1121	Nimal Silva	9302434913v	ENG101	3.25	Ratnapura	TRUE	4/10/1992
STU1009	Saman Dissanayake	9021022283v	ENG101	3.25	Galle	TRUE	10/10/1995
STU1050	Chathura Weerasinghe	9331234014v	ENG101	3.24	Anuradhapura	FALSE	3/2/1996
STU1119	Kamal Dissanayake	9511396880v	CS101	3.24	Kandy	TRUE	12/11/1993
STU1043	Lahiru de Silva	9502073480v	DS505	3.24	Ratnapura	TRUE	9/3/1997
STU1061	Saman Perera	9301512269v	IS404	3.23	Ratnapura	TRUE	3/18/1996
STU1030	Ruwan de Silva	9432174328v	SE202	3.22	Galle	FALSE	3/10/1994
STU1096	Kamal de Silva	9832437040v	CS101	3.21	Galle	TRUE	8/7/1995
STU1023	Lahiru Silva	9932983886v	SE202	3.21	Matale	FALSE	7/26/1999
STU1085	Nimal de Silva	9111319531v	CS101	3.21	Kalutara	TRUE	12/27/1997
STU1025	Kamal Silva	9512638692v	SE202	3.19	Kandy	TRUE	12/5/1991
STU1140	Nimal Weerasinghe	9722331240v	DS505	3.19	Ratnapura	FALSE	6/26/1994
STU1094	Nuwan de Silva	9011185768v	IS404	3.19	Colombo	TRUE	3/12/1996
STU1145	Saman Dissanayake	9833563737v	ENG101	3.17	Matara	FALSE	8/17/1998
STU1120	Saman Silva	9803428245v	SE202	3.17	Matale	TRUE	1/14/1993
STU1059	Ruwan Weerasinghe	9802763033v	CS101	3.16	Galle	TRUE	4/26/1997
STU1110	Kamal Fernando	9521676971v	SE202	3.13	Gampaha	FALSE	10/13/1992
STU1053	Nimal Gunawardena	9412446408v	SE202	3.12	Kalutara	TRUE	2/21/1998
STU1056	Nimal Weerasinghe	9233459940v	IT303	3.10	Ratnapura	FALSE	4/13/1993
STU1100	Kamal de Silva	9933486047v	SE202	3.09	Matara	FALSE	12/22/1990
STU1024	Nimal Perera	9102721478v	MAT201	3.09	Kandy	FALSE	1/14/1996
STU1138	Nimal Fernando	9311346109v	MAT201	3.06	Colombo	TRUE	10/4/1998
STU1022	Chathura Perera	9101189323v	IT303	3.05	Kandy	FALSE	9/13/1994
STU1117	Saman Dissanayake	9303044366v	SE202	3.05	Anuradhapura	FALSE	8/26/1992
STU1079	Nuwan Fernando	9432571689v	IS404	3.04	Colombo	TRUE	2/23/1992
STU1033	Saman Perera	9202563999v	ENG101	3.01	Matale	TRUE	6/26/1997
STU1082	Ruwan de Silva	9032431158v	ENG101	3.00	Kalutara	TRUE	8/8/1996
STU12001	Tharushi Samaranayaka	200272701761	ENG101	3.00	Anuradhapura	TRUE	8/14/2002
STU1073	Ishara Jayakody	9302866983v	IS404	2.97	Anuradhapura	TRUE	10/20/1999
STU1147	Lahiru Perera	9901976249v	MAT201	2.97	Ratnapura	FALSE	5/20/1997
STU1112	Kasun Silva	9131374162v	ENG101	2.94	Kandy	TRUE	6/19/1999
STU1042	Nimal Bandara	9013376495v	DS505	2.94	Kalutara	TRUE	11/6/1998
STU1136	Kamal Dissanayake	9001604225v	CS101	2.90	Anuradhapura	FALSE	11/9/1995
STU1031	Kamal Dissanayake	9722821526v	IT303	2.90	Anuradhapura	FALSE	6/8/1997
STU1019	Ruwan Weerasinghe	9922777977v	SE202	2.88	Matara	FALSE	12/10/1998
STU1090	Nimal Silva	9402464863v	IT303	2.87	Matara	FALSE	3/2/1999
STU1105	Nuwan Perera	9421644659v	DS505	2.87	Matale	FALSE	12/24/1993
STU1020	Lahiru Perera	9303198393v	IS404	2.86	Matara	TRUE	11/8/1997
STU1013	Nuwan de Silva	9412052652v	IS404	2.86	Matara	TRUE	5/3/1990
STU1027	Kamal de Silva	9301434498v	MAT201	2.85	Galle	TRUE	3/27/1992
STU1139	Kamal Gunawardena	9821229736v	IS404	2.85	Kandy	TRUE	2/14/1997
STU1150	Ishara Bandara	9512269026v	IT303	2.84	Galle	FALSE	5/16/1995
STU1021	Kasun Fernando	9433488821v	IS404	2.84	Anuradhapura	FALSE	3/2/1999
STU1104	Ishara de Silva	9532235144v	IS404	2.82	Matara	TRUE	1/27/1996
STU1057	Tharindu Silva	9903277986v	CS101	2.82	Ratnapura	TRUE	12/9/1990
STU1111	Kamal Jayakody	9622855875v	MAT201	2.72	Anuradhapura	FALSE	4/12/1991
STU1058	Chathura Jayakody	9432156789v	ENG101	2.69	Anuradhapura	TRUE	5/8/1999
STU1007	Chathura Bandara	9632274769v	ENG101	2.68	Kalutara	TRUE	4/27/1990
STU1008	Kasun Silva	9222297400v	CS101	2.68	Kandy	TRUE	5/1/1999
STU1099	Tharindu Fernando	9002288339v	MAT201	2.67	Matara	TRUE	6/7/1991
STU1051	Chathura Weerasinghe	9412739654v	MAT201	2.66	Matara	TRUE	7/22/1997
STU1076	Nimal Bandara	9901699410v	SE202	2.66	Kalutara	TRUE	11/15/1997
STU1062	Ruwan Jayakody	9731193145v	IS404	2.64	Matara	TRUE	9/1/1994
STU1010	Kasun Jayakody	9823313510v	IT303	2.61	Anuradhapura	FALSE	5/15/1993
STU1093	Nuwan Jayasinghe	9621136095v	ENG101	2.61	Kalutara	TRUE	8/6/1997
STU1127	Lahiru de Silva	9831288493v	ENG101	2.60	Kandy	TRUE	11/23/1993
STU1069	Tharindu Jayakody	9733539880v	IS404	2.60	Galle	TRUE	1/4/1994
STU1143	Tharindu Jayakody	9122348891v	ENG101	2.58	Ratnapura	TRUE	10/4/1995
STU1101	Ishara Gunawardena	9033304935v	SE202	2.55	Kalutara	TRUE	7/5/1993
STU1118	Kamal Dissanayake	9132941978v	IT303	2.54	Galle	TRUE	3/10/1991
STU1080	Lahiru Bandara	9503367644v	ENG101	2.54	Colombo	TRUE	7/22/1995
STU1095	Ishara de Silva	9231771856v	IT303	2.52	Kandy	TRUE	9/1/1999
STU1146	Ruwan de Silva	9632826598v	MAT201	2.51	Matale	TRUE	9/3/1996
STU1125	Lahiru Bandara	9822383009v	DS505	2.50	Gampaha	TRUE	7/28/1992
STU1029	Nuwan Weerasinghe	9703288707v	CS101	2.48	Gampaha	FALSE	4/4/1996
STU1078	Kamal Jayasinghe	9812408976v	DS505	2.46	Gampaha	FALSE	7/21/1991
STU1046	Lahiru Dissanayake	9302527373v	MAT201	2.46	Matara	TRUE	5/22/1996
STU1133	Ruwan Jayasinghe	9322501501v	SE202	2.43	Colombo	TRUE	5/7/1994
STU1044	Ruwan Weerasinghe	9313179279v	IT303	2.43	Gampaha	FALSE	8/28/1999
STU1130	Nimal Dissanayake	9323164064v	IS404	2.40	Kurunegala	TRUE	8/25/1992
STU1065	Nuwan Perera	9731306015v	IT303	2.38	Kurunegala	FALSE	5/24/1996
STU1055	Chathura Perera	9212388355v	SE202	2.35	Anuradhapura	FALSE	11/22/1990
STU1034	Nimal Weerasinghe	9332787364v	MAT201	2.35	Anuradhapura	TRUE	2/15/1994
STU1122	Ruwan Jayakody	9231199204v	IT303	2.32	Kalutara	FALSE	3/21/1997
STU1004	Nimal Perera	9601799918v	MAT201	2.29	Kurunegala	FALSE	10/24/1995
STU1102	Nuwan Perera	9111225585v	DS505	2.27	Anuradhapura	FALSE	4/21/1994
STU1087	Nuwan de Silva	9313361663v	IT303	2.26	Matara	FALSE	3/19/1997
STU1054	Saman Jayakody	9713358231v	MAT201	2.24	Ratnapura	FALSE	11/20/1992
STU1137	Saman Perera	9132926978v	IS404	2.24	Kandy	FALSE	12/22/1997
STU1067	Nuwan Bandara	9812393947v	IS404	2.20	Anuradhapura	TRUE	3/26/1994
STU1045	Tharindu Jayakody	9222429063v	IT303	2.19	Ratnapura	FALSE	2/18/1996
STU1070	Nuwan Jayakody	9501357775v	DS505	2.16	Ratnapura	FALSE	4/24/1991
STU1072	Kamal Fernando	9801446579v	DS505	2.15	Matara	FALSE	3/13/1992
STU1077	Tharindu Weerasinghe	9421403329v	IS404	2.14	Kurunegala	TRUE	6/11/1999
STU1106	Nimal Jayasinghe	9323601083v	MAT201	2.13	Kandy	FALSE	12/14/1999
STU1124	Chathura Perera	9501426733v	ENG101	2.11	Matale	FALSE	11/12/1994
STU1039	Kasun Fernando	9002026288v	ENG101	2.11	Galle	TRUE	4/13/1994
STU1097	Nuwan Jayasinghe	9213413979v	DS505	2.10	Kurunegala	FALSE	6/17/1998
STU1006	Kamal Perera	9111151200v	SE202	2.09	Galle	FALSE	1/9/1997
STU1086	Chathura Dissanayake	9122964289v	ENG101	2.06	Matara	FALSE	10/12/1996
STU1084	Lahiru Silva	9503391239v	IS404	2.05	Matara	FALSE	1/6/1992
STU12003	Hirushi Dilshara	200272701763	IT303	2.90	matale	TRUE	03/06/2002
